;Assets $;Market value $;PE Ratio;Profits $;Proft_%_Revenues;Revenues $;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;facebook;instagram;linkedin;pinterest;twitter;youtube;Flesh_Mesaure;Readability;Sentences;Unique words;Words;url;external;internal;total links;pixels;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time
0;402,672;240,943;n/a;not available;9.1;146,801;122,671;"AT&amp;T";True;0;38;5;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;72.2;Fairly easy;380;162;1221;www.att.com;137;241;378;20463596;0;0;1;0;0;37;30;5;0;73;0.261
1;224,925;53,758;n/a;not available;4.9;149,558;28,642;Ford Motor;True;0;252;7;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;80.4;Fairly easy;246;81;716;www.ford.com;83;272;355;24328043;29;0;29;66;66;66;73;7;0;336;0.314
2;194,520;48,543;n/a;not available;6.4;152,356;39,871;General Motors;True;0;22;2;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;32.4;Difficult;225;76;593;www.gm.com;2;215;217;4680201;0;0;0;0;0;14;80;8;0;102;0.051
3;93,657;113,947;n/a;not available;3.4;153,290;37,196;CVS Health;True;0;43;24;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;36.5;Difficult;185;228;803;www.cvshealth.com;41;118;159;5156997;0;0;1;1;0;0;18;0;0;20;0.036
4;111,383;122,542;n/a;not available;3.7;157,107;33,830;UnitedHealth Group;True;0;38;4;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;55.8;Fairly difficult;30;46;287;www.unitedhealthgroup.com;10;107;117;6071620;0;0;0;0;0;0;0;0;0;0;0.805
5;53,870;35,945;n/a;not available;0.8;181,241;8,001;McKesson;True;0;71;62;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;19.4;Very Confusing;226;319;814;www.mckesson.com;4;179;183;6841789;0;0;0;0;0;6;7;0;0;13;0.297
6;552,257;350,279;n/a;not available;11.4;210,821;255,550;Berkshire Hathaway;True;0;4;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;56.1;Fairly difficult;27;38;197;www.berkshirehathaway.com;0;18;18;386427;0;0;1;0;0;0;0;0;0;1;0.0
7;290,479;604,304;n/a;not available;22.8;233,715;119,355;Apple;True;0;19;7;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;56.2;Fairly difficult;123;25;273;www.apple.com;5;270;275;3100190;0;0;1;0;0;0;2;0;0;3;0.028
8;336,758;347,129;n/a;not available;6.6;246,204;170,811;Exxon Mobil;True;0;58;29;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;n/a;n/a;n/a;n/a;n/a;www.exxonmobil.com;30;785;815;21601;0;0;1;0;0;16;2;4;0;23;4.701
9;199,581;215,356;n/a;not available;3.0;482,130;80,546;Walmart;True;0;801;1;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;n/a;n/a;n/a;n/a;n/a;www.walmart.com;48;140;188;63160743;1;0;23;74;74;104;45;6;0;327;0.507
