;Assets $;Market value $;Revenues $;Revenues %;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;url_y_x;external;internal;total links;url;facebook;instagram;linkedin;pinterest;twitter;youtube;Readability;Readability_index;total_words;unique_words;url_y_x;460x207;144x144;460x187;15x75;44x556;1x1;800x1200;24pxx133px;21pxx173px;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time
0;199,581;215,356;482,130;-0.7;80,546;Walmart;True;0;744;1;www.walmart.com;135;1051;1186;www.walmart.com;yes;yes;no;yes;yes;yes;Very Confusing;0;1509;347;www.walmart.com;True;True;True;False;False;False;False;False;False;0;0;51;103;103;85;56;17;0;415;0.789
1;336,758;347,129;246,204;-35.6;170,811;Exxon Mobil;True;0;55;29;www.exxonmobil.com;23;784;807;www.exxonmobil.com;yes;no;no;no;no;no;Difficult;1;805;156;www.exxonmobil.com;True;True;True;False;False;False;False;False;False;0;0;1;0;0;16;2;4;0;23;9.287
2;290,479;604,304;233,715;27.9;119,355;Apple;True;0;14;6;www.apple.com;6;89;95;www.apple.com;no;no;yes;no;no;yes;Very Confusing;0;318;127;www.apple.com;True;True;True;False;False;False;False;False;False;0;0;1;0;0;0;2;0;0;3;0.086
3;552,257;350,279;210,821;8.3;255,550;Berkshire Hathaway;True;0;4;0;www.berkshirehathaway.com;0;18;18;www.berkshirehathaway.com;no;no;no;no;no;no;Very Confusing;0;170;103;www.berkshirehathaway.com;True;True;True;True;False;False;False;False;False;0;0;1;0;0;0;0;0;0;1;0.0
4;53,870;35,945;181,241;31.3;8,001;McKesson;True;0;13;15;www.mckesson.com;5;137;142;www.mckesson.com;yes;no;yes;no;yes;yes;Very Confusing;0;504;172;www.mckesson.com;True;True;True;True;False;False;False;False;False;0;0;0;0;0;6;7;0;0;13;0.215
5;111,383;122,542;157,107;20.4;33,830;UnitedHealth Group;True;0;34;3;www.unitedhealthgroup.com;10;111;121;www.unitedhealthgroup.com;yes;no;yes;no;yes;no;Very Confusing;0;724;284;www.unitedhealthgroup.com;True;True;True;True;True;True;False;False;False;0;0;0;0;0;0;0;0;0;0;0.896
6;93,657;113,947;153,290;10.0;37,196;CVS Health;True;0;114;74;www.cvshealth.com;27;127;154;www.cvshealth.com;yes;no;yes;no;yes;yes;Very Confusing;0;716;270;www.cvshealth.com;True;True;True;True;True;True;True;False;False;0;0;1;1;0;1;16;1;0;20;0.139
7;194,520;48,543;152,356;-2.3;39,871;General Motors;True;0;26;2;www.gm.com;10;210;220;www.gm.com;yes;no;yes;no;yes;yes;Very Confusing;0;456;113;www.gm.com;True;True;True;True;True;True;True;False;False;0;0;0;0;0;17;92;8;0;117;0.045
8;224,925;53,758;149,558;3.8;28,642;Ford Motor;True;0;136;50;www.ford.com;10;183;193;www.ford.com;no;no;no;no;no;no;Very Confusing;0;1238;507;www.ford.com;True;True;True;True;True;True;True;False;False;0;0;1;0;0;104;6;22;0;133;0.161
9;402,672;240,943;146,801;10.8;122,671;"AT&amp;T";True;0;40;6;www.att.com;131;240;371;www.att.com;yes;yes;yes;yes;yes;yes;Very Confusing;0;924;235;www.att.com;True;True;True;True;True;True;True;True;True;0;1;1;0;0;20;29;5;0;56;0.976
